geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
18243,28.008978338034268,-15.536867177679133,bom retiro da esperanca,SP
28165,41.61405150610495,-8.411675312504059,vila nova de campos,RJ
28155,42.43928591592116,13.82021409761152,santa maria,RJ
28333,38.38167205114709,-6.328200272094753,raposo,RJ
28595,43.68496096631822,-7.411080413859842,portela,RJ
29654,29.40925222930908,-98.48412074808029,santo antônio do canaã,ES
29654,21.65754744931478,-101.46676644931476,santo antonio do canaa,ES
35179,25.995202881053302,-98.07854439291536,santana do paraíso,MG
35179,25.995244980240106,-98.0785330980116,santana do paraiso,MG
45936,38.3239386880374,-6.775035344018704,itabatan,BA
46560,38.99196259838999,-4.947823288649088,ibiajara,BA
47310,38.26820516582393,-7.803885844521256,santana do sobrado,BA
57319,45.06593318269697,9.341527629906514,pau d'arco,AL
58441,41.38532754845633,-8.717341701284429,são josé da mata,PB
68275,41.14620290949943,-8.57785501800488,porto trombetas,PA
68275,42.16680464053045,-6.898530628106095,porto trombetas,PA
68275,42.16725082536653,-6.898559051071016,porto trombetas,PA
68275,42.16725082536653,-6.898559051071016,porto trombetas,PA
68275,42.16725082536653,-6.898559051071016,porto trombetas,PA
68379,38.71312760878105,-9.135741391218955,castelo dos sonhos,PA
68447,42.42888405758768,-6.873343870596927,vila dos cabanos,PA
78131,38.81681628638297,-9.394624510957431,varzea grande,MT
83252,42.18400274298598,-8.723762147513938,ilha dos valadares,PR
83252,42.18400274298598,-8.723762147513938,ilha dos valadares,PR
83810,39.05762941700437,-9.400036925109038,areia branca dos assis,PR
95130,14.585072541779615,121.10539381057764,santa lucia do piai,RS
98780,-36.6053744107061,-64.28394645581311,santa rosa,RS
98780,-36.60383679197938,-64.28743301028797,santa rosa,RS
98780,-36.60383679197938,-64.28743301028797,santa rosa,RS
